Sno,temp,hum,soil,ir,ultrasonic,cdate
358,nan,nan,100,0,0,2022-11-02 14:04:54.456869
359,nan,nan,100,0,0,2022-11-02 14:05:04.051005
360,nan,nan,100,0,0,2022-11-02 14:05:13.656834
361,nan,nan,100,0,0,2022-11-02 14:05:23.279488
362,nan,nan,100,0,0,2022-11-02 14:05:32.910498
363,nan,nan,100,0,0,2022-11-02 14:05:42.504991
364,nan,nan,100,0,0,2022-11-02 14:05:52.103410
365,nan,nan,100,0,0,2022-11-02 14:06:01.695238
366,nan,nan,100,0,0,2022-11-02 14:06:11.281914
367,nan,nan,100,0,0,2022-11-02 14:06:20.886942
368,nan,nan,100,0,0,2022-11-02 14:06:30.472715
369,nan,nan,100,0,0,2022-11-02 14:06:40.060423
370,nan,nan,100,0,0,2022-11-02 14:06:49.655866
371,nan,nan,100,0,0,2022-11-02 14:06:59.252104
372,nan,nan,100,0,0,2022-11-02 14:07:08.841537
373,30.5,71,100,0,0,2022-11-02 14:07:18.394685
374,29.8,67,100,0,0,2022-11-02 14:07:27.937760
375,29.6,65,100,0,0,2022-11-02 14:07:37.597240
376,29.5,64,100,0,0,2022-11-02 14:07:47.138324
377,29.4,64,100,0,0,2022-11-02 14:07:56.715317
378,29.3,65,100,0,0,2022-11-02 14:08:06.247458
379,29.1,65,100,0,0,2022-11-02 14:08:15.803932
380,29.1,66,100,0,0,2022-11-02 14:08:25.340233
381,29,67,100,0,0,2022-11-02 14:08:34.884188
382,28.9,66,100,0,0,2022-11-02 14:08:44.424172
383,28.8,66,100,0,0,2022-11-02 14:08:53.979836
384,28.8,66,100,0,0,2022-11-02 14:09:03.530672
385,28.7,66,100,0,0,2022-11-02 14:09:13.065985
386,28.7,67,100,0,0,2022-11-02 14:09:22.612779
387,28.6,67,100,0,0,2022-11-02 14:09:32.169099
388,28.6,68,100,0,0,2022-11-02 14:09:41.720212
389,28.5,68,100,0,0,2022-11-02 14:09:51.251456
390,28.5,68,100,0,0,2022-11-02 14:10:00.803287
391,28.5,68,100,0,0,2022-11-02 14:10:10.341334
392,28.4,69,100,0,0,2022-11-02 14:10:19.918038
393,28.3,69,100,0,0,2022-11-02 14:10:29.452615
394,28.3,69,100,0,0,2022-11-02 14:10:38.993719
395,28.3,69,100,0,0,2022-11-02 14:10:48.537459
396,28.3,69,100,0,0,2022-11-02 14:10:58.100367
397,28.2,70,100,0,0,2022-11-02 14:11:07.642399
398,28.1,70,100,0,0,2022-11-02 14:11:17.205716
399,28.2,70,100,0,0,2022-11-02 14:11:26.741994
400,28.1,70,100,0,0,2022-11-02 14:11:36.288710
401,28,70,100,0,0,2022-11-02 14:11:45.826450
402,28,71,100,0,0,2022-11-02 14:11:50.372811
403,28,71,100,0,0,2022-11-02 14:11:59.953879
404,28,71,100,0,0,2022-11-02 14:12:09.492960
405,28,71,100,0,0,2022-11-02 14:12:19.048843
406,27.9,70,100,0,0,2022-11-02 14:12:28.584124
407,28,71,100,0,0,2022-11-02 14:12:38.135449
408,27.9,70,100,0,0,2022-11-02 14:12:47.674389
409,27.9,70,100,0,0,2022-11-02 14:12:57.219558
410,27.9,71,100,0,0,2022-11-02 14:13:06.765956
411,27.9,71,100,0,0,2022-11-02 14:13:16.315999
412,27.8,71,100,0,0,2022-11-02 14:13:25.850312
413,27.9,71,100,0,0,2022-11-02 14:13:35.411650
414,27.9,71,100,0,0,2022-11-02 14:13:44.939317
415,27.8,72,100,0,0,2022-11-02 14:13:54.491288
416,27.8,73,100,0,0,2022-11-02 14:14:04.155615
417,27.8,72,100,0,0,2022-11-02 14:14:13.658041
418,27.8,72,100,0,0,2022-11-02 14:14:23.137875
419,27.8,72,100,0,0,2022-11-02 14:14:32.687802
420,27.8,72,100,0,0,2022-11-02 14:14:42.319782
421,27.8,72,100,0,0,2022-11-02 14:14:51.786084
422,27.8,72,100,0,0,2022-11-02 14:15:01.337021
423,27.8,72,100,0,0,2022-11-02 14:15:10.889015
424,27.8,72,100,0,0,2022-11-02 14:15:20.425297
425,27.8,72,100,0,0,2022-11-02 14:15:29.974601
426,27.7,72,100,0,0,2022-11-02 14:15:39.512847
427,27.7,72,100,0,0,2022-11-02 14:15:49.057172
428,27.7,72,100,0,0,2022-11-02 14:15:58.673116
429,27.7,73,100,0,0,2022-11-02 14:16:08.216018
430,27.6,73,100,0,0,2022-11-02 14:16:17.765327
